set_num,name,year,theme_id,num_parts,img_url
7863-1,Remote Controlled Point Motor,1980,234,8,https://cdn.rebrickable.com/media/sets/7863-1.jpg
7864-1,Transformer / Controller 12V,1980,234,34,https://cdn.rebrickable.com/media/sets/7864-1.jpg
7865-1,12V Motor,1980,234,19,https://cdn.rebrickable.com/media/sets/7865-1.jpg
7866-1,Remote Controlled Road Crossing,1983,234,194,https://cdn.rebrickable.com/media/sets/7866-1.jpg
7867-1,12V Train Light Posts,1983,234,52,https://cdn.rebrickable.com/media/sets/7867-1.jpg
78675-1,Exclusive RoboRiders Six Set Limited Edition Value Pack,2000,16,0,https://cdn.rebrickable.com/media/sets/78675-1.jpg
7868-1,Mace Windu's Jedi Starfighter,2011,158,309,https://cdn.rebrickable.com/media/sets/7868-1.jpg
7869-1,Battle for Geonosis,2011,158,335,https://cdn.rebrickable.com/media/sets/7869-1.jpg
7870-1,Hans Christian Andersen Bucket,2005,22,503,https://cdn.rebrickable.com/media/sets/7870-1.jpg
787-1,Play Mat with Drawstring,1977,473,1,https://cdn.rebrickable.com/media/sets/787-1.jpg
7871-1,Whale,2007,22,31,https://cdn.rebrickable.com/media/sets/7871-1.jpg
7872-1,Lion,2007,22,57,https://cdn.rebrickable.com/media/sets/7872-1.jpg
7873-1,Airplane,2007,22,38,https://cdn.rebrickable.com/media/sets/7873-1.jpg
7875-1,Backhoe,2007,22,39,https://cdn.rebrickable.com/media/sets/7875-1.jpg
7876-1,Cement Mixer,2007,22,44,https://cdn.rebrickable.com/media/sets/7876-1.jpg
7877-1,Naboo Starfighter,2011,158,318,https://cdn.rebrickable.com/media/sets/7877-1.jpg
78777-1,Alien Discovery,2000,135,0,https://cdn.rebrickable.com/media/sets/78777-1.jpg
7879-1,Hoth Echo Base,2011,158,773,https://cdn.rebrickable.com/media/sets/7879-1.jpg
78800-1,Soccer Bonus Set,2000,462,0,https://cdn.rebrickable.com/media/sets/78800-1.jpg
7880-1,Big Pirate Ship,2006,651,60,https://cdn.rebrickable.com/media/sets/7880-1.jpg
7881-1,Pirate Ship,2006,651,33,https://cdn.rebrickable.com/media/sets/7881-1.jpg
7882-1,Shark Attack,2006,651,13,https://cdn.rebrickable.com/media/sets/7882-1.jpg
7883-1,Treasure Hunt,2006,651,14,https://cdn.rebrickable.com/media/sets/7883-1.jpg
7884-1,Batman's Buggy: The Escape of Mr. Freeze,2008,697,76,https://cdn.rebrickable.com/media/sets/7884-1.jpg
7885-1,Robin's Scuba Jet: Attack of The Penguin,2008,697,208,https://cdn.rebrickable.com/media/sets/7885-1.jpg
7886-1,The Batcycle: Harley Quinn's Hammer Truck,2008,697,274,https://cdn.rebrickable.com/media/sets/7886-1.jpg
7888-1,The Tumbler: Joker's Ice Cream Surprise,2008,697,457,https://cdn.rebrickable.com/media/sets/7888-1.jpg
7890-1,Ambulance,2006,60,118,https://cdn.rebrickable.com/media/sets/7890-1.jpg
789-1,Storage Cloth,1987,473,1,https://cdn.rebrickable.com/media/sets/789-1.jpg
7891-1,Airport Firetruck,2006,53,148,https://cdn.rebrickable.com/media/sets/7891-1.jpg
7892-1,Hospital,2006,60,386,https://cdn.rebrickable.com/media/sets/7892-1.jpg
7893-1,Passenger Plane,2006,53,404,https://cdn.rebrickable.com/media/sets/7893-1.jpg
7893-2,Passenger Plane - ANA version,2006,53,404,https://cdn.rebrickable.com/media/sets/7893-2.jpg
7894-1,Airport,2006,53,705,https://cdn.rebrickable.com/media/sets/7894-1.jpg
7894-2,Airport - ANA Version,2007,53,707,https://cdn.rebrickable.com/media/sets/7894-2.jpg
7895-1,Switching Tracks for RC Trains,2006,66,8,https://cdn.rebrickable.com/media/sets/7895-1.jpg
7896-1,Straight and Curved Rails for RC Trains,2006,66,16,https://cdn.rebrickable.com/media/sets/7896-1.jpg
7897-1,Passenger Train,2006,66,493,https://cdn.rebrickable.com/media/sets/7897-1.jpg
7898-1,Cargo Train Deluxe,2006,66,857,https://cdn.rebrickable.com/media/sets/7898-1.jpg
7899-1,Police Boat,2006,61,200,https://cdn.rebrickable.com/media/sets/7899-1.jpg
79000-1,Riddles for The Ring,2012,562,105,https://cdn.rebrickable.com/media/sets/79000-1.jpg
7900-1,Heavy Loader,2006,56,348,https://cdn.rebrickable.com/media/sets/7900-1.jpg
79001-1,Escape from Mirkwood Spiders,2012,562,298,https://cdn.rebrickable.com/media/sets/79001-1.jpg
79002-1,Attack of the Wargs,2012,562,399,https://cdn.rebrickable.com/media/sets/79002-1.jpg
79003-1,An Unexpected Gathering,2012,562,665,https://cdn.rebrickable.com/media/sets/79003-1.jpg
79004-1,Barrel Escape,2012,562,334,https://cdn.rebrickable.com/media/sets/79004-1.jpg
79005-1,The Wizard Battle,2013,566,113,https://cdn.rebrickable.com/media/sets/79005-1.jpg
79006-1,The Council of Elrond,2013,566,243,https://cdn.rebrickable.com/media/sets/79006-1.jpg
79007-1,Battle at the Black Gate,2013,566,656,https://cdn.rebrickable.com/media/sets/79007-1.jpg
79008-1,Pirate Ship Ambush,2013,566,756,https://cdn.rebrickable.com/media/sets/79008-1.jpg
79010-1,The Goblin King Battle,2012,562,840,https://cdn.rebrickable.com/media/sets/79010-1.jpg
7901-1,Airplane Mechanic,2006,53,31,https://cdn.rebrickable.com/media/sets/7901-1.jpg
